id,speed
0,48.758503
1,48.09681
2,34.877136
3,32.537426
4,44.69296
5,27.056913
6,24.05847
7,49.410076
8,48.072083
9,30.33453
10,33.715076
11,23.28786
12,24.17055
13,22.62591
14,25.905207
15,37.671192
16,43.650616
17,47.433765
18,48.66791
19,48.98395
20,47.275307
21,43.942966
22,21.04724
23,33.49925
24,26.585495
25,21.950073
26,23.800217
27,21.936026
28,17.613146
29,14.656442
30,25.990164
31,47.206448
32,49.4083
33,30.858158
34,29.58276
35,23.436281
36,19.991077
37,20.491743
38,46.08929
39,41.592106
40,47.246773
41,48.518517
42,49.038403
43,42.70312
44,18.753078
45,18.656332
46,18.740318
47,9.038667
48,45.234386
49,48.35895
50,49.462875
51,21.178078
52,17.74474
53,18.259417
54,18.030073
55,18.016323
56,12.651449
57,15.391232
58,27.265385
59,34.341614
60,41.677105
61,38.034164
62,43.253025
63,44.03766
64,45.30611
65,47.833134
66,46.783073
67,46.841534
68,43.72215
69,24.031494
70,24.831547
71,15.576067
72,14.565253
73,14.73462
74,11.367678
75,8.703658
76,41.234825
77,37.34192
78,40.833244
79,47.711025
80,13.36529
81,17.562584
82,26.740355
83,17.011274
84,15.858918
85,13.059822
86,21.27414
87,35.690704
88,44.77451
89,40.65958
90,48.412952
91,47.436924
92,46.344994
93,45.583668
94,25.305899
95,12.830075
96,23.507263
97,10.290347
98,10.330392
99,19.454956
100,39.548725
101,47.138626
102,14.481119
103,15.779661
104,13.249573
105,43.83198
106,36.423565
107,47.52253
108,41.885586
109,14.079732
110,10.22012
111,11.079333
112,22.024496
113,34.818253
114,36.149586
115,48.744587
116,50.135715
117,42.233772
118,25.569061
119,23.140423
120,18.349781
121,17.859035
122,34.03384
123,47.639454
124,46.90716
125,39.960434
126,39.927357
127,34.72539
128,42.695583
129,36.287617
130,49.196423
131,47.17887
132,47.01449
133,28.321003
134,25.518148
135,24.005795
136,38.947258
137,47.177494
138,49.42281
139,46.944855
140,45.608074
141,42.394768
142,25.176037
143,12.732483
144,20.113935
145,18.122112
146,17.941807
147,48.2893
148,49.915638
149,46.437695
150,47.132236
151,17.397425
152,17.475155
153,17.147284
154,9.319811
155,19.3983
156,35.83955
157,45.083435
158,40.324337
159,43.00449
160,49.170414
161,50.796753
162,49.254585
163,47.977013
164,44.47697
165,27.317896
166,15.615821
167,19.327955
168,17.058603
169,18.046886
170,10.176405
171,11.024479
172,45.557037
173,48.3048
174,44.153164
175,26.587797
176,21.57324
177,16.45155
178,17.953058
179,8.35107
180,43.9364
181,48.01198
182,49.64214
183,49.328346
184,40.550453
185,17.674362
186,14.7825
187,36.48984
188,25.339088
189,48.7512
190,43.50128
191,43.19412
192,38.053802
193,36.924374
194,36.32196
195,33.580437
196,33.082333
197,44.492157
198,40.213543
199,48.80886
200,47.62986
201,27.796505
202,25.707872
203,19.364214
204,19.465712
205,19.50844
206,36.345497
207,39.89537
208,49.126198
209,49.297043
210,46.47478
211,47.482357
212,29.354908
213,15.490415
214,23.543804
215,22.413248
216,17.586859
217,24.563145
218,45.268368
219,48.586723
220,47.328575
221,45.227245
222,29.325323
223,17.608889
224,12.270385
225,24.281145
226,46.066013
227,49.12068
228,17.663315
229,23.420761
230,19.497686
231,15.997072
232,42.59792
233,48.18668
234,46.54137
235,19.587206
236,26.58715
237,23.051435
238,22.915619
239,38.28518
240,29.840027
241,34.883175
242,48.818954
243,48.824986
244,47.924637
245,48.060825
246,28.636948
247,29.453136
248,27.394547
249,25.552092
250,22.401407
251,35.553295
252,41.607124
253,27.526194
254,34.500614
255,46.451523
256,46.178448
257,44.6816
258,44.150486
259,44.011837
260,41.73471
261,35.33233
262,39.4146
263,41.024822
264,30.230385
265,41.7532
266,48.17864
267,44.49309
268,16.917593
269,20.298489
270,17.834938
271,17.241392
272,21.073353
273,17.376898
274,45.26876
275,47.19406
276,47.885326
277,46.938152
278,30.16602
279,18.732203
280,15.610446
281,23.543758
282,20.62037
283,22.842932
284,17.70118
285,16.036242
286,47.122723
287,46.5875
288,13.03459
289,19.594074
290,17.924374
291,14.743468
292,14.649
293,28.444557
294,47.043556
295,48.049335
296,48.759556
297,37.285717
298,24.951532
299,34.273952
300,25.736097
301,20.388855
302,29.995047
303,43.228054
304,41.88826
305,48.55956
306,47.74348
307,48.81529
308,45.176857
309,29.65746
310,16.756546
311,7.700906
312,39.794407
313,36.4998
314,37.90179
315,48.058907
316,44.986107
317,36.974503
318,34.19926
319,34.38657
320,42.837715
321,45.697147
322,46.023186
323,45.304146
324,48.562515
325,48.29156
326,47.491287
327,42.239582
328,42.753242
329,39.12355
330,37.83866
331,41.753452
332,42.68907
333,38.541084
334,35.964138
335,43.362396
336,46.649338
337,46.471542
338,15.021025
339,20.003077
340,19.928429
341,26.78197
342,43.374004
343,44.02969
344,48.744255
345,48.344505
346,47.700024
347,17.736897
348,38.46088
349,49.386463
350,48.65856
351,48.117214
352,31.226648
353,17.027641
354,26.820795
355,19.699556
356,17.625237
357,21.800358
358,35.067154
359,43.968815
360,45.19088
361,49.358646
362,17.056921
363,25.131186
364,19.787596
365,19.236185
366,14.973085
367,25.23629
368,44.19827
369,49.313904
370,48.61618
371,47.906246
372,47.587833
373,18.505762
374,20.298029
375,10.648243
376,23.51642
377,37.3117
378,39.93719
379,48.766975
380,30.89369
381,18.726065
382,18.124546
383,31.520643
384,48.403053
385,48.307003
386,47.621178
387,48.152412
388,43.881947
389,39.431007
390,35.712067
391,35.258743
392,49.082466
393,49.18834
394,47.132362
395,17.580778
396,16.96908
397,26.445295
398,24.01558
399,17.389904
400,12.905498
401,32.412758
402,37.82998
403,48.376812
404,46.120922
405,43.981903
406,29.722885
407,14.618027
408,19.926664
409,18.655313
410,16.032274
411,10.428561
412,43.509964
413,40.338974
414,45.022465
415,49.49103
416,47.78429
417,47.397808
418,46.711983
419,29.940361
420,16.912647
421,10.111291
422,44.462547
423,41.69679
424,48.862537
425,49.14353
426,50.7376
427,35.469715
428,29.479645
429,44.172215
430,47.495296
431,51.294117
432,49.77809
433,46.055088
434,21.681328
435,29.715078
436,25.879087
437,22.491257
438,48.92716
439,48.79154
440,49.66999
441,32.81169
442,32.04302
443,30.492695
444,28.006483
445,34.083347
446,36.543358
447,37.451744
448,45.94659
449,44.97249
450,45.668224
451,44.704845
452,43.394005
453,43.165638
454,44.263096
455,40.909264
456,41.2858
457,44.196964
458,50.818024
459,50.42919
460,38.499565
461,28.796652
462,29.969193
463,27.874302
464,29.171532
465,38.619305
466,48.2773
467,49.37386
468,47.639156
469,48.023758
470,24.365166
471,27.473635
472,24.489609
473,24.114725
474,17.595188
475,25.641876
476,48.504665
477,48.18836
478,34.119106
479,25.227972
480,24.587952
481,20.201708
482,24.594048
483,49.314198
484,48.52126
485,47.59672
486,32.287766
487,33.86027
488,25.300812
489,16.748003
490,15.768969
491,39.511497
492,44.77019
493,48.662548
494,48.55678
495,47.62855
496,22.393375
497,29.707705
498,43.248226
499,50.36738
500,50.754704
501,50.816708
502,50.485607
503,49.701687
504,34.719677
505,33.85771
506,29.136307
507,25.85473
508,26.238865
509,46.568897
510,46.79291
511,46.642582
512,45.10904
513,44.201748
514,43.33755
515,41.888714
516,41.788925
517,42.278397
518,47.696144
519,46.670177
520,20.427675
521,25.274996
522,20.455555
523,21.187063
524,16.799551
525,45.960407
526,48.41575
527,48.418625
528,46.76197
529,27.572416
530,18.85301
531,20.964264
532,17.996618
533,16.554222
534,14.499202
535,46.697834
536,26.18531
537,17.34209
538,15.764846
539,17.095415
540,13.455984
541,12.397383
542,45.36168
543,42.82523
544,46.987503
545,44.19669
546,12.886924
547,19.04462
548,20.100483
549,19.287851
550,17.352566
551,38.54465
552,41.534237
553,48.249847
554,48.64455
555,44.087906
556,26.641119
557,15.902517
558,18.167439
559,20.668058
560,15.753966
561,17.111952
562,18.297756
563,17.443071
564,14.721885
565,10.219554
566,42.618618
567,37.817265
568,39.390453
569,49.323307
570,48.533222
571,32.444786
572,43.118996
573,47.396667
574,48.090065
575,47.853725
576,46.378914
577,44.377754
578,41.21873
579,45.14352
580,45.406727
581,37.607178
582,48.998127
583,48.26439
584,16.53162
585,19.729261
586,26.457443
587,25.11065
588,21.18187
589,19.561586
590,22.072662
591,19.086348
592,46.808727
593,47.718735
594,48.115997
595,46.638218
596,44.887207
597,28.406277
598,25.265226
599,18.2562
600,13.8477125
601,47.820805
602,47.086502
603,44.16535
604,13.389652
605,19.566187
606,35.573982
607,40.537056
608,48.895653
609,48.52657
610,47.728962
611,46.835567
612,43.073032
613,15.23469
614,22.757423
615,18.739386
616,16.826855
617,18.322958
618,13.414321
619,22.62401
620,42.07664
621,49.891552
622,49.170197
623,47.73049
624,44.80985
625,26.422651
626,18.800684
627,17.035463
628,18.271164
629,11.073229
630,21.799316
631,50.960743
632,49.680656
633,48.547096
634,42.621674
635,27.433577
636,23.697773
637,48.0249
638,47.81497
639,46.981396
640,41.161865
641,41.69725
642,40.817368
643,39.46802
644,38.171913
645,39.278244
646,37.915833
647,47.07784
648,47.358917
649,46.560894
650,45.026276
651,15.8640785
652,18.413336
653,10.992641
654,19.901302
655,47.382523
656,47.460464
657,47.461456
658,46.219578
659,45.782066
660,43.643047
661,17.087286
662,24.017817
663,18.491407
664,19.229618
665,20.202627
666,18.262278
667,10.137987
668,44.086113
669,39.37509
670,44.058582
671,46.92548
672,44.008465
673,22.928614
674,16.81267
675,33.451157
676,47.53628
677,47.936295
678,46.667217
679,14.034264
680,24.541262
681,19.686714
682,20.322117
683,17.99953
684,44.33183
685,47.68459
686,47.031944
687,47.019238
688,44.253803
689,26.339888
690,17.93427
691,22.49301
692,16.287323
693,15.634929
694,48.64063
695,48.16786
696,39.901726
697,28.177502
698,25.051254
699,20.72544
700,16.701885
701,18.868792
702,40.98556
703,45.690422
704,47.21984
705,47.3675
706,46.6949
707,45.827408
708,42.892975
709,40.717224
710,40.369404
711,39.72674
712,39.53551
713,38.040066
714,37.620747
715,44.879253
716,39.421116
717,47.98089
718,47.219707
719,24.892267
720,12.358817
721,7.98308
722,4.1428127
723,39.355247
724,39.61067
725,47.19494
726,46.52234
727,24.448256
728,15.814877
729,16.55363
730,11.143387
731,43.738354
732,47.43703
733,48.253063
734,43.462856
735,11.120164
736,12.015935
737,11.742341
738,11.655729
739,6.1503572
740,30.187544
741,41.910492
742,48.03817
743,48.319164
744,48.583164
745,24.03664
746,18.786312
747,24.649242
748,23.81796
749,18.662704
750,17.156506
751,16.42466
752,42.8789
753,48.09856
754,47.75888
755,46.34865
756,45.94616
757,12.943046
758,19.803904
759,17.543064
760,17.857218
761,12.799889
762,23.669922
763,45.719246
764,39.093517
765,41.6125
766,49.081966
767,48.464886
768,41.0653
769,21.706257
770,18.737444
771,18.790302
772,30.888842
773,46.112762
774,46.634155
775,45.99636
776,45.64627
777,44.938023
778,41.66067
779,35.93334
780,48.45178
781,48.616695
782,47.5626
783,16.629034
784,17.347694
785,18.553595
786,16.811962
787,18.332098
788,13.50266
789,24.141287
790,48.710194
791,48.71307
792,47.257153
793,48.293324
794,21.805649
795,20.52392
796,16.524988
797,13.142185
798,23.66634
799,47.38597
800,26.667553
801,13.832255
802,18.377306
803,13.797415
804,14.913206
805,10.647826
806,34.720493
807,43.651154
808,48.13575
809,47.644455
810,47.323524
811,46.986256
812,27.002134
813,13.472618
814,20.59579
815,18.224495
816,19.08323
817,43.197594
